id,ytid,caption,genre,tempo_bpm,instruments
0019,qRCjs90-1RQ,The male voice singing sounds emotional and sad while a piano is playing a minor chord progression along with an acoustic guitar strumming chords. Then a fat sounding acoustic drum comes in with a simple groove along with an e-bass. This song may be playing on headphones while sitting in the bus riding downtown being lost in thoughts.,rock,150,guitar; acoustic guitar; bass; drums; piano; voice
0020,1tNkAc29aPE,"This song is an instrumental. The tempo is medium with an upbeat electric guitar harmony. The music is minimal with no other instrument as accompaniment. It is Loud, sharp, intense, youthful and rhythmic. The vibrations of the music can be heard even after it stops playing. This music is Soft Rock.",rock,121,guitar; electric guitar; harp
0021,SkIDF7iNJQE,"This is a simple dubstep piece. Electronic drums and percussion are played at the rhythmic background at 120 BPM. There is a high-pitched synth and a fuzzy synth bass playing a simple melody. The all-around quality of the sounds are a bit old-fashioned, reminiscing of the early 2000s. The piece has a danceable, trippy feel to it. It could be used in a retro-themed venue.",electronic,120,bass; drums; synth; percussion
0022,6cQjwXNY4sc,"The song is an instrumental. The song is medium tempo with a steady drumming rhythm, cymbal crashes, groovy bass line and various percussion hits. The song is youthful and energetic. The song has an average audio quality.",electronic,163,bass; keyboard; percussion
0023,RQbNC1J4Jfk,"This song is full of reverb and delay in the beginning. A riser effect is rising up to break into the next part of the song. Then a digital drum with kick and snare comes in along with a monotone bassline. A synthesizer is playing a rhythmic, very simple and monotone melody on top. The sound-elements are all panning from left to right with a ping pong delay.",electronic,134,bass; drums; synth; synthesizer
0024,ZaUaqnLdg6k,This song contains electronic drums that sound overdriven with an aggressive kick and clap sounds as snare. A male choir sample is singing a chord melody with breaks in-between. The whole thing sounds urban and epic as if something heroic is happening.,electronic,134,drums; choir
0025,LCzldLY3E4g,This is an opening theme for a TV series. It is an instrumental piece. The main theme is being played by a loud brass section. There is a groovy synth bass line playing. The rhythmic background consists of a strong electronic drum beat. The atmosphere is energetic. This piece could be used in lifting samples for beat-making.,electronic,129,bass; drums; synth; brass
0026,hjrl1KHEuqE,This song contains digital drums playing a groove together with an e-bass. Different fast paced synth sounds are playing a rhythmic melody along to the drums. Violas are playing a countermelody to the male voices singing a melody creating a harmony. This song may be playing in a movie scene where someone is driving with a partner on a motorbike.,electronic,139,bass; drums; synth; violin; voice
0027,mcAsO331Z9s,"This music is an upbeat instrumental. The tempo is fast with a plethora of instruments like trumpets, congas, bongos, steel drum, accordion,saxophone, keyboard,and electric guitar. The music is perky, buoyant, high spirited, enthusiastic, energetic with complex harmonies. This music is a contemporary take in Traditional Latin folk music.",electronic,121,guitar; electric guitar; bass; keyboard; synth; trumpet; saxophone; sax; trombone; congas; bongos; accordion
0028,ZgcZPBUKxd8,"A digital drum is playing a simple groove with a kick on every beat. Beeping tones that seem to come from a synthesizer come in along with the snare hit. A guitar-like sound is being played, serving as bassline. A very far sounding deep voice is playing on the right side of the speakers with a lot of reverb and delay. This song may be playing in a techno club.",electronic,125,guitar; bass; drums; synth; synthesizer; voice
0029,6Sdu56gquJE,"A male vocalist sings this intense Rap. The tempo is slow with boomy bass drumming and atmospheric synthesiser. The music is minimalist with emphatic vocals. The song is a passionate, youthful,insightful,persuasive and intense Synth Rap.",electronic,125,bass; synth; vocals
0030,5blPLHS0Cko,This ambient song features a main melody played on a flute. It is accompanied by percussion playing beats on the bass drum only. A tambourine is played on one count in every bar. There are the sounds of chirping birds in the background. This song also has layers of synth playing tribal-style instruments. The mood is meditative. This song can be used in meditation or in a yoga session.,electronic,101,bass; synth; flute; voice; percussion
0031,q9zAlMM-A9I,"A full orchestra is playing a slow dramatic, emotional and soft composition. In the background whispering can be heard. This is an amateur recording. This song may be playing at a theater dancing ballet.",classical,121,flute
0032,otVPTo72q4w,"This music is instrumental. The tempo is slow with a harmonious melody of string instruments, percussion and wind instruments which sound like the Indian Sarangi, dhol or madal , shakers and a flute. The music is classical, simple, enchanting and melodic. This song is a Folk song Instrumental.",classical,94,flute; percussion
0033,TWm_2QncYXg,"The song is an instrumental. The song is medium tempo with a percussive tabla rhythm, groovy bass line and a guitar strumming rhythm and playing lead. The song is Indian classical fusion with a poor audio quality.",classical,156,guitar; bass; percussion; tabla
0034,_MjbdUaJcik,"The song is an instrumental. The tempo is medium with a brass section including trumpets, trombones and tubas playing in an instrumental harmony. The song is emotional and spirited. The song is western classical music piece.",classical,121,trumpet; trombone; brass
0035,7Vjp9y6wvkY,"This song is a soothing instrumental. The tempo is slow with a melancholic violin harmony, banjo and resonator accompaniment, sound of chimes and a sharp tinkle. The music is soft, soothing, melancholic, serene, meditative, pensive and nostalgic. The music uses country style instrumentation.",classical,114,piano; violin; cello; banjo; harp
0036,OrsfEkAhie4,"This is an Indian classical instrumental. The tempo is fast with a vigorous tabla and Sitar introduction with temple bells, acoustic guitar,Manjira taal or small Indian hand cymbals and a traditional harmonium accompaniment. The simple instruments are layered perfectly and are in absolute sync to create this complex music. The music is fast and vigorous at the onset and settles down to a more mellow and easy rhythm. This music is a Hindustani Classical.",classical,129,guitar; acoustic guitar; percussion; tabla
0037,xtllXrdFAFQ,"This music is instrumental. The tempo is fast with a spirited harpsichord, contrasting melancholic violin harmony, flute, cello , viola and piano accompaniment. The music is complex, syncopated , melancholic, wistful, anxious and restless. This music is a Western Classical Piece.",classical,163,piano; violin; cello; flute; harp
0038,lTAfSpsyTSI,"This symphonic song features the string section and brass section playing the main melody. The instruments are playing different parts in harmony. At the beginning, the instruments play a two note descending sequence in which the second note is allowed to ring. Then one note is played and allowed to sustain for six counts followed by a bass note that is played for the remaining counts. A snare plays a pattern during this last sustain. A cymbal is also played at the end of this phrase. There are no voices in this song. This is an instrumental song. This song can be played in a movie about a voyage.",classical,125,bass; voice; brass
0039,vmBkZflwViA,This is a classical music piece performance. It is meant to be played at a wedding. There is an organ playing a simple and festive tune. There is an atmosphere of celebration in this piece. This music would fit perfectly with weddings. Organ samples could also be lifted from this recording to be used in beat-making.,classical,125,organ
0040,HdRPdh-cSTw,"A female vocalist sings this Hindi Devotion song. The tempo is slow with keyboard harmony,tambourine beats, violin melody and rhythmic tanpura accompaniment. This clip is the song introduction with slow chants like singing. The song is a Hindu Devotion song to the God Shiva. It is emotional, sentimental, devotional, prayerful praise and worship. There are ambient sounds of people talking and cheering, indicating that this is a live performance.",classical,125,keyboard; violin; vocals
0041,1xhwyUVSRQk,"A female singer sings this cool pop melody with backup singers in vocal harmony. The song is medium tempo with a groovy bass line, steady drumming rhythm, and keyboard accompaniment . The song is exciting and youthful. The audio quality with a lot of ambient crowd noises.",pop,87,bass; keyboard
0042,YVEqyQjyy1Q,"A female vocalist sings this spirited pop. The tempo is fast with infectious piano melody, slick drumming, funky bass, baritone saxophone, Hammond organ accompaniment with enthusiastic vocals. The song is fresh, youthful, buoyant; energetic, high-spirited, cheeky, suggestive, playful and groovy. This is a hit Pop Song.",pop,134,guitar; electric guitar; bass; piano; saxophone; sax; organ; vocals
0043,kQw2NQ_eqyg,"A female singer sings this cool melody with backup singers in  vocal harmony. The song is medium tempo with a groovy bass line and  guitar rhythm, steady drums g rhythm and keyboard harmony. The song is catchy and has a dance groove. The song is a retro dance hit. The song has a poor audio quality issue.",pop,144,guitar; bass; drums; keyboard
0044,1OIfQHKnAcw,A male singer sings this emotional melody. The song is medium tempo with a piano accompaniment and a strong bass drum kick . The song is emotional and romantic. The song is a home music video .,pop,144,bass; piano; keyboard
0045,Wnl0qbVynL4,This slow pop song features a female voice singing the main melody. The voice is tremulous and sings in a foreign language. This is accompanied by a string section playing chords and fills in harmony. The bass plays the root notes of the chords. There is no percussion in this song. The mood of this song is romantic and dreamy. This song can be played when there is a romantic flashback scene in a movie.,pop,114,bass; violin; voice; percussion
0046,NWL-P08eM-U,"A male vocalist sings this peppy rap. The tempo is medium fast with an enthusiastic and catchy guitar rhythm, drum stick clicks, congas, steady drumming and keyboard accompaniment. The song is simple, punchy; buoyant, youthful, animated, vibrant and has a catchy dance groove. This song is contemporary Hip-Hop/Rap.",pop,99,guitar; keyboard; congas
0047,BWSJjF32tQA,"The song is an instrumental. The song is medium tempo with a moog bass accompaniment, keyboard organ tone and a strong bass line. The song is emotional and poignant. The song is a new age pop soundtrack.",pop,121,bass; keyboard; organ
0048,B8pesuUc8Ek,"A male singer sings this retro pop melody. The song is medium tempo with a steady drumming rhythm, steady bass line, guitar accompaniment, and fiddler playing. The song is romantic and slow dance-like. The audio quality is very poor.",pop,114,guitar; bass
0049,Ovk5EfFj7Ws,"Male vocalist sings this upbeat Hip-Hop song. The tempo is fast with minimal instrumentation of a lively infectious, punchy drumming and enthusiastic vocal backup and incessant, vigorous vocalisation. The song is buoyant, catchy, punchy, funky, youthful,groovy, engaging, vibrant and vivacious. This song is contemporary Hip-Hop/Rap.",pop,121,keyboard; vocals
0050,I-Z3gB6pfIA,"A female vocalist sings this perky pop. The tempo is medium with rhythmic acoustic guitar , groovy bass lines, keyboard accompaniment and enthusiastic drumming. The song is simple, dulcet, fresh, peppy, youthful, vibrant and punchy with sounds of crowd hooting and cheering and talking. This song is a Pop song.",pop,91,guitar; acoustic guitar; bass; keyboard; vocals
0051,tPJMr890HeE,This audio is of a low quality recording. It is a hip-hop song featuring a male voice singing the main melody. This is accompanied by a female voice singing vocals in an angelic voice in the background. Programmed percussion plays a simple beat with the hi-hat being struck at every count. The bass plays the root notes of the chords. The bass notes are allowed to ring. This song has a slow tempo. This song can be played in a club.,hiphop,104,bass; vocals; voice; percussion
0052,jlIbJVfnHB4,"A male singer sings this passionate melody with backup singers in vocal harmony. The song is medium tempo with a slick drumming rhythm, keyboard accompaniment, beep tones, strong bass line and slick percussion hits. The song is groovy and story telling in nature. The song has poor audio quality.",hiphop,114,bass; piano; keyboard; percussion
0053,GuQFhmGqdog,"A female vocalist sings this rather vigorous country song. The tempo is fast with vocalisation. The vocalist is yodelling vigorously and rhythmically to the accompaniment of an animated banjo, fiddle, resonator and mandolin harmony, vibrant drumming and.",hiphop,144,vocals; voice; banjo
0054,Zq92ED3IvLQ,This song contains acoustic drums playing a simple hip hop groove along with a e-bass and e-guitars playing a simple repeating line. A male voice with a deeper voice is rapping on top of it. The song may be playing while having a BBQ in the garden with your friends.,hiphop,85,guitar; bass; drums; voice
0055,YZvv4hOlNqw,"The low quality recording features a hip hop song where a fruity male vocal is rapping over punchy kick and snare hits, shimmering hi hats, groovy bass and brass melody. It sounds bouncy, groovy and upbeat.",hiphop,110,bass; brass
0056,f4jW2H6V7gk,"A male singer sings this exciting melody with female backup singers in vocal harmony. The song is medium fast tempo with a strong bass line, steady drumming rhythm, keyboard accompaniment and a car horn playing percussively. The song has pretty bad audio quality. The song is a retro hip hop dance tune.",hiphop,134,bass; keyboard
0057,KabP9iNokps,This is a live recording. The percussion is beatboxing and the melodic element of the instrumental is a flute player who plays a low riff which ascends towards the end.,hiphop,110,flute; percussion
0058,Y6OOFbrzdP8,"This is an amateur cover of a guitar solo in a heavy metal piece. The solo is being played on an electric guitar. There is a rapid procession of high-pitch notes in the solo. The feel is complex and aggressive. The quality of the recording is a bit poor. If the quality issue can be resolved, this piece could be sampled for use in beat-making.",hiphop,121,guitar; electric guitar
0059,vhTWW5Bx15Q,"This is a radio program recording from Romania. There is a male vocal rapping Romanian while another is beatboxing. Then, the rapper starts talking in a radio announcement voice. This recording could be sampled for use in beat-making.",hiphop,139,voice
0060,NwA9JSlK_lM,This is an Irish folk music piece. There is no singer. The main melody is being played by the uilleann pipes and the fiddle at a high pitch. The acoustic guitar is playing a rapid procession of chords in the background. The atmosphere is lively. This piece could be playing in the background at an Irish pub. It could also be used in the soundtracks of movies and TV shows that have a theme with an Irish influence.,hiphop,107,guitar; acoustic guitar
0061,3HtfWSbmuAc,Someone is playing a neo-soul chord progression on a fender rhodes piano with vibration tremolo effect. This song may be playing at a live concert opening the stage.,rnb,64,piano
0062,PF6Mn51Nkvs,"This song is an instrumental. The tempo is slow with melodic violin, punchy bass lines, slick drumming, cymbal ride,vibrant trumpet, table turner and sounds in the background like thudding, clashing, glass shattering and crashing . It is soft, mellow, soothing and ambient.This music is contemporary Soul.",rnb,89,bass; keyboard; violin; trumpet
0063,3JYQgXudiH8,A digital drum is playing a groove that motivates to dance with a kick on every beat along with a shaker. Male backing voices are singing a melody in harmony and adlips that are panned to the right side of the speakers. A piano is playing a simple repeating melody and a soft bass sound is rounding the recording up. On top of that a male voice is singing phrases. This song may be playing at home dancing.,rnb,107,bass; drums; piano; voice
0064,VP1cB_AVu6c,This song contains a digital drum with a shaker sound and a triangle. A soft sub bass is playing along. In the background you can hear one continuous high tone from a digital string sound. Other strings and a piano are playing a simple repeating melody. The female voice is singing along with backing vocals in the background. This song may be playing loud while driving a car.,rnb,94,bass; drums; piano; strings; vocals; voice
0065,EZAwPnGOJPE,"The low quality recording features a Northern Soul song sung by passionate female vocalists and background harmonizing female vocals over punchy snare, groovy bass and sustained brass melody. It sounds upbeat, crushed, vintage, emotional and funky. The recording is noisy and in mono.",rnb,144,bass; vocals; brass
0066,JCfZpSEH77Y,"The low quality recording features a blues song that consists of a passionate fruity male vocal singing over harmonica licks, acoustic rhythm guitar, groovy bass and steel guitar melody. It sounds passionate and soulful. The recording is noisy and since the bass sound is leaning towards the right channel of the stereo image - the stereo image is unbalanced.",rnb,114,guitar; bass; harmonica
0067,ltysCJWnvsI,"A male vocalist sings this spirited song. The tempo is medium fast with enthusiastic trumpet, funky keyboard harmony, groovy bass lines, slick drumming and piano accompaniment. The song is simple,spirited, enthusiastic, energetic and buoyant. This song is an R&B/Soul.",rnb,107,bass; piano; keyboard; trumpet; congas; brass
0068,kOBh4NZ4wZQ,"A male vocalist sings this smooth Soul song. The tempo is medium with a groovy bass line, trombone harmony, electric guitar rhythm, slick drumming, vocal backup, congas and tambourine  beats with smooth vocal backup. The song is soft, rich, elegant, ambient and smooth. This music is a Funk pop/Soul.",rnb,87,guitar; electric guitar; bass; keyboard; trombone; congas; bongos
0069,BN63M3_lPCQ,"The low quality recording features a folk song playing in the background while the flat male vocalist is speaking. The song contains shimmering shakers, acoustic rhythm guitar, wooden percussion and harmonica melody. The song sounds happy, joyful and soulful.",rnb,94,guitar; harmonica; percussion
0070,x1S2oreZBWU,This is an R&B/disco funk music piece. There are multiple layers of a female vocalist singing melodically. The melody is being played by the electric guitar while the bass guitar is playing a groovy bass line. There is a funky acoustic drum beat in the background. The atmosphere is hip and the piece is very danceable. The piece could be playing for a 70s night at a dance club.,rnb,117,guitar; electric guitar; bass; drums
0071,2Q20hVyYjBM,"A male vocalist sings this passionate song in Dutch. The tempo is slow with vocal emphasis and an accordion harmony. The song is a simple, narrative, slow Folk song.",metal,144,accordion
0072,hWiAoE4u4y8,This is an alternative metal music piece. There is a male vocal singing loudly initially with a cleaner character and then with a heavy vocal fry. The distorted electric guitar is playing a heavy riff with the bass guitar in the background. The rhythmic background consists of an aggressive acoustic drum metal beat. The atmosphere is rebellious and violent. This piece can be used in the soundtrack of an action video game or a thriller movie during scenes of a face-off or a combat.,metal,139,guitar; electric guitar; bass; drums
0073,CAbNGe1PWoY,"This is a heavy metal music piece. There is no singer in this piece. There is a complex electric guitar solo being played. The melodic background consists of the distorted electric guitar and the bass guitar. The rhythm is being played by the acoustic drums. The atmosphere of this piece is loud and hard-hitting. This piece could be used in the soundtrack of an action-filled cartoon/animation movie, especially during the combat scenes.",metal,144,guitar; electric guitar; bass; drums
0074,z9hRQiJMnIw,This heavy metal song features a high pitched male voice. This is accompanied by percussion playing an aggressive metal beat. The kick drum plays double kicks matching the picking pattern of the guitars. The distortion guitars play twin parts. One guitar plays the low parts while the other plays the same riff at a higher octave. The bass guitar follows the distortion guitars and plays the notes from the same riffs but ending earlier than the guitars. This song has a romantic theme. This song can be played in a superhero movie.,metal,114,guitar; bass; voice; percussion
0075,Cwbtn_h6TP8,"A female singer sings this screaming metal melody. The song is medium tempo with a steady metal drumming rhythm, steady bass line and a distorted guitar playing rhythm. The song is rebellious and passionate. The audio quality is very poor.",metal,125,guitar; bass; vocals
0076,mwwnfWgV_5U,This is a power metal/speed metal music piece. The melody is being performed by the distorted electric guitar and the keyboard while the bass guitar is playing in the background. The rhythmic background consists of a loud metal acoustic drum beat. The atmosphere is aggressive and upbeat. This music would suit perfectly in the soundtrack of an adventure video game. It could also work well in the soundtrack of an action-filled cartoon series.,metal,129,guitar; electric guitar; bass; drums; keyboard
0077,OM04OFjNPGw,"A male singer sings this death metal melody with screaming vocals. The tempo is fast, with fast metal drumming, percussive bass line, rhythmic distorted guitar play and various percussion hits. The song is exciting  and high on adrenaline. The audio quality is poor.",metal,104,guitar; bass; vocals; percussion
0078,g75kz9ffcg0,"A male singer sings this screaming metal melody. The song is medium fast tempo with a fast metal drumming rhythm, percussive bass line and guitars playing accompaniment. The song is rebellious and highly spirited. The audio quality is very poor and vintage.",metal,134,guitar; bass; vocals
0079,hXLo1l5gS-I,This is an instrumental harp cover of a heavy metal music piece. The atmosphere of the recording is lively. This piece could be used in the soundtrack of an arcade video game. It could also be sampled for use in beat-making.,metal,114,harp
0080,nT_R3O0OK6U,"The song is an instrumental. The tempo is medium fast with a percussive bass line, super fast metal drumming with cymbal crashes and fast drum rolls and a distorted guitar playing a virtuoso lead. The song is energetic and animated. The song has poor audio quality.",metal,150,guitar; bass
0081,D3q_stCeCA8,This is an African folk music piece. There are two female vocalists and a male vocalist singing in a tribal style. The rhythm is played by one of the singers with a shekere in her hand. The atmosphere is vibrant. This piece could be playing in the soundtrack of an adventure movie that takes place in Africa.,folk,96,vocals; percussion
0082,0XxinBtKouQ,"A group of male vocalists sing this happy, upbeat country /bluegrass song. The tempo is fast with vigorous and animated acoustic guitar, banjo, mandolin and auto harp lead and harmony. The song is a live performance with ambient sounds of clapping, cheering and people talking. This song is a cheerful Country Pop/Bluegrass song.",folk,150,guitar; acoustic guitar; banjo; harp
0083,nJ3tuDmcdTs,This song contains someone playing an accordion melody and chords along with an acoustic guitar strumming the same chords. Someone is playing an acoustic instrument while a male voice is singing in a higher key. This song may be playing in the countryside.,folk,139,guitar; acoustic guitar; voice; percussion; accordion
0084,t8uF3PZ3KGQ,"This music is a soothing Chinese lute instrumental. The tempo is slow with a soft melody of the Pipa. It is melodic, zen, meditative, reflective, ponderous and calming.",folk,117,guitar
0085,-bgHkxwoliw,Digital drums are playing a four on the floor rhythm with a kick on every beat along with a bassline and a keyboard sound playing short rhythmic chords and a e-guitar playing a simple melody along. A male voice is singing in a higher key. This song may be playing at a folkfest.,folk,134,guitar; bass; drums; keyboard; voice
0086,vMU7ZKY2Eso,"A male vocalist sings this lively Latino song. The tempo is fast with an animated piano accompaniment, bright trumpets, energetic and rhythmic drumming, groovy bass and keyboard. The song is energetic, lively, buoyant, bouncy, vibrant and vivacious with a dance groove. This song is Latin Pop.",folk,144,guitar; bass; piano; keyboard; trumpet; congas; brass
0087,ZqnbgQeeRbM,Acoustic guitars are strumming chords while male voices are singing along. There are a lot of background noises of people talking. The recording is of very poor quality. This song may be playing at a local small town event.,folk,129,guitar; acoustic guitar; voice
0088,vEt13GxzDKk,"A female vocalist sings this happy Indian wedding song. The tempo is medium fast with a cheerful dholak and a rhythmic shaker made of ghungaroos. The song is a minimalist, cheerful, happy, festive, celebratory and joyful song sung during Punjabi wedding rituals.",folk,125,percussion
0089,bpKbpKZB0Q0,"This is an amateur recording of a percussive jam over a backing track that has the acoustic guitar and hollering male vocals singing in the Spanish language, iconic features of latin folk music. Two pairs of maracas are being played to create the rhythm.",folk,114,guitar; acoustic guitar; vocals; percussion
0090,cTzJlLzN-xU,"A male vocalist sings this famous Beatle’s song in Country style. The tempo is medium with an auto harp accompaniment, groovy bass line, keyboard harmony, female vocal backup and sound of clapping and cheering indicating that this is a live performance . The song is cheerful, melodious, engaging, energetic,youthful and upbeat.",folk,107,bass; keyboard; harp
0091,gsEk62Efbh4,"This salsa song contains percussive elements as maracas,cowbell and bongos creating a typical salsa rhythm spread across both sides of the speakers. An e-bass is playing a complex walking bassline. An acoustic piano is playing a melody up and down the scales along with backing vocals singing in harmony as a countermelody to the male lead voice singing in the midrange. This song may be playing in a latin bar.",latin,114,bass; piano; vocals; voice; bongos
0092,06IU9WsEp3s,"A male vocalist sings this enthusiastic latin melody. The tempo is medium with keyboard harmony, rhythmic Spanish guitar,percussive congas, bongos and guiro with tambourine beats. There is a loud siren-like sound superimposed over the song. The song is lively, simple,emotional, youthful, rhythmic, catchy with a latin dance grove.",latin,125,guitar; keyboard; percussion; congas; bongos
0093,uKGo4phKqLM,"The music excerpt features a male voice that's speaking instead of singing. A latin music percussion section is driving the pulse of the music. Trumpets can be heard playing short melodies and also accents that stop and start the music. The tempo of the music is pretty fast. At one point the crowd can be heard cheering. The quality of the audio recording is not that good, which leads me to believe it was recorded with a phone.",latin,121,trumpet; voice; percussion
0094,MwE7REVj8JQ,The song is an instrumental. The tempo is varying with maracas being played percussively. The playing is energetic and exciting. The song is a home music video and probably a demonstration of Latin percussion styles.,latin,129,percussion
0095,t8os583-_JM,"The low quality recording features a cover of a latin urban song that consists of a groovy bass guitar, acoustic rhythm guitar, hand tapping and electric guitar solo playing over it in the first half of the loop, followed by harmonica solo in the second half of the loop. It sounds passionate and energetic.",latin,134,guitar; electric guitar; bass; harmonica
0096,fX8A5Uxc8R0,Someone is playing an e-bass along with somebody playing percussion with fast rhythms. A male voice is singing in a higher register. This is an amateur recording and of poor audio-quality. This song may be playing in a live scenario.,latin,125,bass; voice; percussion
0097,ZwfzBagtpV0,"This song is a Latin duet. The tempo is fast with an ensemble of Latin instruments like Spanish guitar accompaniment, bright drums, congas and bongos rhythm, trombone and trumpets playing an animated melody and a whistle like wind instrument. The song is vibrant, energetic,engaging, upbeat and youthful. This song is Latin pop.",latin,125,guitar; acoustic guitar; drums; keyboard; trumpet; trombone; congas; bongos; brass
0098,7NnvEryyYdo,This is a cumbia piece. There is a female vocal singing seductively joined by male back vocals singing in the chorus. The trumpet is playing the main melody joined by the piano and the bass guitar in the background. Latin percussion playing a cumbia beat provides the rhythmic background. The atmosphere of the piece is very playful. The ideal setting for this piece can be a latin dance course.,latin,83,guitar; bass; piano; trumpet; vocals; choir; percussion
0099,OB7GyVqufwQ,A digital drum is playing a reggaeton groove along with some acoustic percussion while someone is playing a turkish baglama. A male voice is singing/shouting. This is an amateur recording. This song may be playing outside busking with a band.,latin,91,voice; percussion
0100,KChjW89XOF0,"This is a recording of two flamenco guitarists playing a captivating latin american rhythm. It's upbeat and suitable for dancing. The one guitarist strums chords in the percussive flamenco style, while the other guitarist plays flamenco lead with arpeggios and licks. The performance is live and outside. There is reverb applied to the lead guitar. Both are playing on  nylon strings.",latin,121,guitar; acoustic guitar; strings
